,sum_factor_year,num_games,team,year,year_str
0,39.31999999999999,162,SD,2015,2015
1,33.44000000000001,161,NYY,2024,2024
2,29.700000000000003,162,LAA,2017,2017
3,28.95000000000001,162,CLE,2017,2017
4,28.240000000000006,162,LAD,2015,2015
5,28.02999999999998,163,LAD,2018,2018
6,27.710000000000008,162,ATL,2019,2019
7,27.640000000000008,162,AZ,2022,2022
8,27.539999999999996,162,PIT,2015,2015
9,27.459999999999994,162,SF,2016,2016
10,26.300000000000026,162,NYY,2022,2022
11,25.869999999999994,160,CLE,2024,2024
12,25.430000000000007,160,SF,2025,2025
13,24.900000000000006,162,SEA,2019,2019
14,24.479999999999997,156,NYM,2023,2023
15,24.13,156,ATL,2023,2023
16,23.319999999999986,162,PIT,2016,2016
17,23.289999999999992,162,CWS,2022,2022
18,23.23999999999999,162,DET,2018,2018
19,23.069999999999997,162,SEA,2018,2018
20,22.430000000000003,162,TEX,2021,2021
21,20.709999999999987,162,LAA,2015,2015
22,20.599999999999998,162,TOR,2016,2016
23,19.990000000000006,162,SEA,2017,2017
24,19.820000000000004,162,ATL,2018,2018
25,19.799999999999997,162,ATH,2021,2021
26,19.649999999999995,162,ATL,2017,2017
27,19.6,162,TOR,2018,2018
28,18.960000000000008,162,COL,2016,2016
29,18.700000000000003,162,MIL,2019,2019
30,18.490000000000002,160,TOR,2025,2025
31,18.43999999999999,162,CIN,2021,2021
32,18.02,157,SD,2023,2023
33,17.730000000000004,160,DET,2025,2025
34,17.7,162,MIN,2021,2021
35,17.639999999999986,162,NYM,2022,2022
36,17.330000000000002,161,SEA,2024,2024
37,17.210000000000004,163,COL,2018,2018
38,16.980000000000004,162,BOS,2019,2019
39,16.920000000000005,162,CHC,2016,2016
40,16.859999999999992,162,LAD,2017,2017
41,16.68000000000001,162,TOR,2015,2015
42,16.47,162,COL,2022,2022
43,16.060000000000002,162,PHI,2019,2019
44,16.05000000000001,162,STL,2017,2017
45,16.01,163,MIL,2018,2018
