,umpire,favor_by_ump_sum,num_games,team,temp_team
0,Alfonso Marquez,-10.51,24,SF,SF
1,Doug Eddings,-9.53,18,DET,DET
2,Bill Miller,-8.84,22,STL,STL
3,Dan Bellino,-8.7,30,PHI,PHI
4,Bruce Dreckman,-8.56,20,STL,STL
5,Phil Cuzzi,-8.27,19,BOS,BOS
6,Alfonso Marquez,-7.79,24,DET,DET
7,Todd Tichenor,-7.78,20,CWS,CWS
8,Ron Kulpa,-7.56,16,CIN,CIN
9,Manny Gonzalez,-7.4,22,MIL,MIL
10,Lance Barksdale,-7.36,26,WSH,WSH
11,Jeff Nelson,-7.36,23,COL,COL
12,Tripp Gibson,-7.29,20,WSH,WSH
13,Nic Lentz,-7.28,19,PIT,PIT
14,Lance Barksdale,-7.27,23,BAL,BAL
15,Dan Iassogna,-7.24,23,TB,TB
16,James Hoye,-7.12,23,MIA,MIA
17,Gabe Morales,-6.95,29,AZ,AZ
18,Bill Miller,-6.94,23,MIN,MIN
19,Chris Segal,-6.83,16,TB,TB
20,Lance Barksdale,-6.83,25,TB,TB
21,Scott Barry,-6.83,18,TB,TB
22,Manny Gonzalez,-6.77,22,BAL,BAL
23,Mike Estabrook,-6.65,20,TEX,TEX
24,Lance Barrett,-6.65,18,COL,COL
25,D.J. Reyburn,-6.61,22,PIT,PIT
26,Marvin Hudson,-6.6,23,SEA,SEA
27,Larry Vanover,-6.6,14,CHC,CHC
28,Nestor Ceja,-6.6,15,HOU,HOU
29,Mark Ripperger,-6.53,24,HOU,HOU
30,Andy Fletcher,-6.43,16,KC,KC
31,Mike Muchlinski,-6.32,31,ATH,ATH
32,Mark Wegner,-6.32,15,PIT,PIT
33,Gary Cederstrom,-6.28,14,BAL,BAL
34,Stu Scheurwater,-6.22,24,PHI,PHI
35,Mike Winters,-6.21,12,PIT,PIT
36,Adam Beck,-6.21,9,SD,SD
37,Gerry Davis,-6.18,18,TEX,TEX
38,Carlos Torres,-6.17,21,KC,KC
39,Ted Barrett,-6.13,21,CHC,CHC
40,Chris Conroy,-6.1,22,KC,KC
41,Gabe Morales,-6.06,21,BAL,BAL
42,Dana DeMuth,-6.06,7,CWS,CWS
43,Will Little,-6.05,13,PIT,PIT
44,Larry Vanover,-6.04,19,MIA,MIA
45,Sean Barber,-6.04,23,CIN,CIN
46,Paul Nauert,-6.02,15,ATL,ATL
47,Rob Drake,-5.99,22,ATL,ATL
48,Nick Mahrley,-5.95,18,HOU,HOU
49,Chad Whitson,-5.91,15,LAA,LAA
50,Marvin Hudson,-5.86,26,ATH,ATH
51,Bill Miller,-5.85,22,MIA,MIA
52,Quinn Wolcott,-5.79,24,ATL,ATL
53,Tim Timmons,-5.76,10,PHI,PHI
54,Carlos Torres,-5.7,26,WSH,WSH
55,Lance Barrett,-5.67,23,MIL,MIL
56,Quinn Wolcott,-5.67,22,KC,KC
57,Mike Winters,-5.61,12,NYM,NYM
58,Mike Winters,-5.57,8,CIN,CIN
59,Jim Wolf,-5.57,22,LAD,LAD
60,Chad Fairchild,-5.56,15,HOU,HOU
61,Mark Wegner,-5.51,23,BAL,BAL
62,Scott Barry,-5.46,15,SEA,SEA
63,Jordan Baker,-5.45,20,ATH,ATH
64,Jansen Visconti,-5.44,13,TB,TB
65,Paul Nauert,-5.42,7,MIN,MIN
66,Scott Barry,-5.41,11,SD,SD
67,Chad Fairchild,-5.41,25,WSH,WSH
68,Andy Fletcher,-5.4,22,SEA,SEA
69,Tom Hallion,-5.39,12,KC,KC
70,John Tumpane,-5.35,23,KC,KC
71,Chad Whitson,-5.27,13,PIT,PIT
72,Alan Porter,-5.24,25,TEX,TEX
73,Mike Muchlinski,-5.24,20,WSH,WSH
74,Jim Wolf,-5.22,18,BAL,BAL
75,Manny Gonzalez,-5.2,22,MIA,MIA
76,Laz Diaz,-5.19,23,NYY,NYY
77,Rob Drake,-5.17,13,CHC,CHC
78,Pat Hoberg,-5.17,15,WSH,WSH
79,Tim Timmons,-5.16,13,KC,KC
80,Paul Emmel,-5.13,9,KC,KC
81,Lance Barrett,-5.12,26,TEX,TEX
82,Larry Vanover,-5.12,15,SF,SF
83,Joe West,-5.1,15,HOU,HOU
84,Chad Whitson,-5.08,21,WSH,WSH
85,Mark Carlson,-5.07,13,BOS,BOS
86,Mark Carlson,-5.05,14,AZ,AZ
87,Phil Cuzzi,-5.04,21,STL,STL
88,Sean Barber,-5.01,23,BAL,BAL
89,Lance Barrett,-5.0,21,BAL,BAL
90,Quinn Wolcott,-5.0,17,WSH,WSH
91,Mark Wegner,-4.99,22,HOU,HOU
92,Shane Livensparger,-4.95,15,CIN,CIN
93,Jordan Baker,-4.93,22,CHC,CHC
94,Jim Wolf,-4.91,16,WSH,WSH
95,Mark Carlson,-4.87,17,ATH,ATH
96,Ryan Blakney,-4.85,17,WSH,WSH
97,Mark Carlson,-4.81,18,MIA,MIA
98,Larry Vanover,-4.79,16,AZ,AZ
99,Tony Randazzo,-4.78,16,CIN,CIN
100,Ted Barrett,-4.78,14,KC,KC
101,Phil Cuzzi,-4.76,19,CHC,CHC
102,Chad Whitson,-4.76,23,CIN,CIN
103,Ben May,-4.76,18,PHI,PHI
104,Brian Knight,-4.73,16,KC,KC
105,CB Bucknor,-4.72,19,SD,SD
106,Chad Fairchild,-4.7,19,CWS,CWS
107,D.J. Reyburn,-4.69,16,TEX,TEX
108,Roberto Ortiz,-4.69,14,KC,KC
109,Sam Holbrook,-4.68,13,ATH,ATH
110,Angel Hernandez,-4.65,20,TOR,TOR
111,Pat Hoberg,-4.65,17,CIN,CIN
112,D.J. Reyburn,-4.65,20,TB,TB
113,Vic Carapazza,-4.62,27,HOU,HOU
114,CB Bucknor,-4.6,26,DET,DET
115,Brian Knight,-4.6,23,TEX,TEX
116,Larry Vanover,-4.57,17,LAA,LAA
117,Jerry Layne,-4.56,10,PHI,PHI
118,Larry Vanover,-4.55,17,MIN,MIN
119,Mark Carlson,-4.54,15,CIN,CIN
120,John Tumpane,-4.52,24,BAL,BAL
121,Doug Eddings,-4.52,19,HOU,HOU
122,Dan Iassogna,-4.51,23,MIA,MIA
123,Paul Nauert,-4.51,14,DET,DET
124,Bill Welke,-4.5,14,NYM,NYM
125,Quinn Wolcott,-4.5,22,HOU,HOU
126,Chad Fairchild,-4.48,18,CHC,CHC
127,Sam Holbrook,-4.44,15,STL,STL
128,Brian O'Nora,-4.44,19,TOR,TOR
129,Bruce Dreckman,-4.43,13,MIA,MIA
130,Jeff Nelson,-4.43,14,WSH,WSH
131,Gabe Morales,-4.42,16,NYM,NYM
132,Rob Drake,-4.41,18,NYY,NYY
133,Jansen Visconti,-4.41,17,CWS,CWS
134,Ed Hickox,-4.39,14,NYY,NYY
135,Chris Conroy,-4.39,17,MIN,MIN
136,Phil Cuzzi,-4.38,17,DET,DET
137,Cory Blaser,-4.38,20,CWS,CWS
138,Brian O'Nora,-4.35,12,ATH,ATH
139,Laz Diaz,-4.32,20,HOU,HOU
140,Cory Blaser,-4.28,22,BOS,BOS
141,Ted Barrett,-4.28,19,SD,SD
142,Adam Hamari,-4.26,27,LAA,LAA
143,Marvin Hudson,-4.26,21,CIN,CIN
144,Gerry Davis,-4.24,8,CHC,CHC
145,Brian Walsh,-4.23,7,STL,STL
146,Marvin Hudson,-4.2,27,DET,DET
147,Tim Timmons,-4.19,13,TB,TB
148,Adam Hamari,-4.19,23,KC,KC
149,Nick Mahrley,-4.19,15,SD,SD
150,Andy Fletcher,-4.17,18,CIN,CIN
151,Nic Lentz,-4.17,15,STL,STL
152,Ron Kulpa,-4.16,24,KC,KC
153,Mark Carlson,-4.15,21,WSH,WSH
154,Scott Barry,-4.14,20,MIN,MIN
155,Rob Drake,-4.12,16,DET,DET
156,Stu Scheurwater,-4.12,16,BAL,BAL
157,Roberto Ortiz,-4.12,17,PIT,PIT
158,Bruce Dreckman,-4.12,16,HOU,HOU
159,Mike Muchlinski,-4.11,24,MIN,MIN
160,Gerry Davis,-4.11,13,COL,COL
161,Lance Barksdale,-4.1,16,TEX,TEX
162,Bill Miller,-4.08,24,CHC,CHC
163,Ted Barrett,-4.07,18,CLE,CLE
164,Jeff Nelson,-4.06,13,TEX,TEX
165,Jim Joyce,-4.06,6,ATH,ATH
166,D.J. Reyburn,-4.06,23,ATH,ATH
167,Tim Timmons,-4.06,11,SEA,SEA
168,James Hoye,-4.04,24,TB,TB
169,Gerry Davis,-4.02,12,CLE,CLE
170,Paul Schrieber,-4.02,3,CIN,CIN
171,Stu Scheurwater,-4.01,21,SF,SF
172,Brian Knight,-4.0,10,MIL,MIL
173,Sam Holbrook,-3.99,16,CIN,CIN
174,Ron Kulpa,-3.99,16,MIL,MIL
175,Jim Wolf,-3.99,19,PIT,PIT
176,Cory Blaser,-3.99,24,SEA,SEA
177,Tony Randazzo,-3.98,13,TEX,TEX
178,Kerwin Danley,-3.98,7,TEX,TEX
179,Chad Fairchild,-3.95,21,NYY,NYY
180,Hunter Wendelstedt,-3.95,18,LAD,LAD
181,Ryan Additon,-3.95,16,CIN,CIN
182,Dan Iassogna,-3.94,22,ATH,ATH
183,Andy Fletcher,-3.91,24,TB,TB
184,Chris Guccione,-3.89,25,SD,SD
185,Jerry Meals,-3.88,19,CLE,CLE
186,Adam Hamari,-3.88,18,CIN,CIN
187,Marty Foster,-3.88,13,COL,COL
188,Ramon De Jesus,-3.88,21,HOU,HOU
189,Jeff Nelson,-3.87,17,STL,STL
190,Adrian Johnson,-3.87,29,LAD,LAD
191,Hunter Wendelstedt,-3.86,22,NYM,NYM
192,John Tumpane,-3.86,12,MIA,MIA
193,Lance Barrett,-3.85,17,KC,KC
194,Tripp Gibson,-3.85,17,BAL,BAL
195,Ron Kulpa,-3.85,14,CLE,CLE
196,Tom Hallion,-3.84,12,PHI,PHI
197,Ben May,-3.83,18,CHC,CHC
198,David Rackley,-3.83,18,AZ,AZ
199,Ramon De Jesus,-3.83,17,BAL,BAL
200,Alfonso Marquez,-3.82,23,MIL,MIL
201,Rob Drake,-3.82,12,MIA,MIA
202,Chad Fairchild,-3.81,22,LAD,LAD
203,Ted Barrett,-3.8,18,STL,STL
204,Carlos Torres,-3.8,25,ATL,ATL
205,Bruce Dreckman,-3.79,16,BAL,BAL
206,Chris Guccione,-3.78,19,PIT,PIT
207,Bill Miller,-3.77,21,KC,KC
208,Brian O'Nora,-3.77,18,CWS,CWS
209,Hunter Wendelstedt,-3.76,14,KC,KC
210,Bruce Dreckman,-3.75,13,NYY,NYY
211,Alan Porter,-3.75,16,TB,TB
212,Bruce Dreckman,-3.75,15,ATL,ATL
213,Fieldin Culbreth,-3.74,14,NYY,NYY
214,Junior Valentine,-3.74,11,CIN,CIN
215,Tom Hallion,-3.73,15,MIA,MIA
216,Jerry Meals,-3.73,19,KC,KC
217,Alan Porter,-3.72,23,HOU,HOU
218,Mike Everitt,-3.72,8,CIN,CIN
219,Sean Barber,-3.72,12,AZ,AZ
220,Jeff Kellogg,-3.69,8,NYM,NYM
221,Mike Estabrook,-3.69,21,BAL,BAL
222,Chris Conroy,-3.69,19,LAD,LAD
223,Marty Foster,-3.68,10,STL,STL
224,James Hoye,-3.67,20,DET,DET
225,Jordan Baker,-3.67,17,PHI,PHI
226,Brian Knight,-3.66,17,MIA,MIA
227,Mike Winters,-3.66,11,ATH,ATH
228,Cory Blaser,-3.66,18,MIA,MIA
229,Sean Barber,-3.65,20,TOR,TOR
230,Mark Ripperger,-3.65,18,CIN,CIN
231,Brian Gorman,-3.64,13,MIL,MIL
232,Vic Carapazza,-3.64,24,COL,COL
233,Nick Mahrley,-3.64,14,LAA,LAA
234,Dan Iassogna,-3.63,18,CWS,CWS
235,Tony Randazzo,-3.62,19,TOR,TOR
236,Ben May,-3.62,20,MIA,MIA
237,Mike Winters,-3.61,6,TB,TB
238,Mike Estabrook,-3.6,23,LAD,LAD
239,Ed Hickox,-3.6,16,PIT,PIT
240,Sean Barber,-3.6,21,NYY,NYY
241,Stu Scheurwater,-3.6,21,CHC,CHC
242,Carlos Torres,-3.59,17,COL,COL
243,Tony Randazzo,-3.58,17,PHI,PHI
244,Chris Guccione,-3.58,19,CWS,CWS
245,James Hoye,-3.58,19,WSH,WSH
246,Dan Bellino,-3.57,26,CIN,CIN
247,Cory Blaser,-3.56,19,KC,KC
248,Laz Diaz,-3.56,19,SF,SF
249,Todd Tichenor,-3.56,15,WSH,WSH
250,Ramon De Jesus,-3.56,21,ATL,ATL
251,Chad Whitson,-3.56,22,KC,KC
252,Tripp Gibson,-3.55,14,MIA,MIA
253,Andy Fletcher,-3.55,16,STL,STL
254,Chris Conroy,-3.54,18,CWS,CWS
255,Brian Knight,-3.54,15,COL,COL
256,Tom Hallion,-3.53,18,ATL,ATL
257,Chris Guccione,-3.53,26,ATH,ATH
258,Todd Tichenor,-3.53,17,ATH,ATH
259,Andy Fletcher,-3.52,20,TEX,TEX
260,Hunter Wendelstedt,-3.52,18,ATH,ATH
261,Tom Hallion,-3.52,16,AZ,AZ
262,Chris Segal,-3.52,22,MIL,MIL
263,John Libka,-3.52,16,HOU,HOU
264,Chad Fairchild,-3.51,18,DET,DET
265,Clint Fagan,-3.51,7,MIA,MIA
266,Mike Muchlinski,-3.51,13,DET,DET
267,Joe West,-3.5,19,WSH,WSH
268,Jeremie Rehak,-3.5,13,MIA,MIA
269,CB Bucknor,-3.49,22,MIA,MIA
270,Ed Hickox,-3.48,16,CIN,CIN
271,Ryan Blakney,-3.48,24,CIN,CIN
272,Laz Diaz,-3.48,21,PHI,PHI
273,Mike Muchlinski,-3.47,25,MIL,MIL
274,Edwin Moscoso,-3.47,10,DET,DET
275,Mike Muchlinski,-3.45,19,CLE,CLE
276,Doug Eddings,-3.45,25,TOR,TOR
277,Jansen Visconti,-3.44,15,STL,STL
